Date,Acct ID (Team),Symbol,Type,ID,Quantity,Price (US$),Gross Amount ($$),Commission (S$),Fee (S$),Exchange Rate,Net Amount (S$) (Fuel),Strategy (Car),Parameters (Driver),Status,UNDERLYING_TICKER,YF_SYMBOL,DATE_USED,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,PORTFOLIO_EQUITY
2024-12-19,Option IBKR,NVDA 19DEC25 130 C,Buy,NVDA 251219C00130000,1.0,$29.32,"-$2,932.00",-$0.69,-$0.06,1.0,"-$2,932.76",Long Call,,Closed,NVDA,NVDA,2024-12-19,131.75999450683594,134.02999877929688,129.5500030517578,130.67999267578125,130.65151977539062,7067.24
2025-01-06,Stock IBKR,DECKERS OUTDOOR CORP,Buy,DECK,9.0,$209.91,"-$1,889.19",-$1.00,-$0.09,1.0,"-$1,890.28",Growth Investing,,Open,DECK,DECK,2025-01-06,210.94000244140625,212.49000549316406,207.11000061035156,208.47000122070312,208.47000122070312,7067.24
2025-01-06,Stock IBKR,TESLA INC,Buy,TSLA,5.0,$409.76,"-$2,048.80",-$1.00,-$0.09,1.0,"-$2,049.89",Growth Investing,,Open,TSLA,TSLA,2025-01-06,423.20001220703125,426.42999267578125,401.70001220703125,411.04998779296875,411.04998779296875,7067.24
2025-01-06,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,8.0,$74.86,-$598.88,-$1.00,-$0.09,1.0,-$599.97,Growth Investing,,Open,PLTR,PLTR,2025-01-06,78.69000244140625,80.05999755859375,74.61000061035156,75.91999816894531,75.91999816894531,7067.24
2025-01-22,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,2.0,$74.02,-$148.04,-$1.00,-$0.09,1.0,-$149.13,Growth Investing,,Open,PLTR,PLTR,2025-01-22,74.5,77.16000366210938,73.80000305175781,76.87000274658203,76.87000274658203,7067.24
2025-01-22,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,0.7,$74.02,-$51.95,$0.00,$0.00,1.0,-$51.95,Growth Investing,,Open,PLTR,PLTR,2025-01-22,74.5,77.16000366210938,73.80000305175781,76.87000274658203,76.87000274658203,7067.24
2025-01-30,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,0.3,$80.54,-$24.01,-$0.24,-$0.02,1.0,-$24.27,Growth Investing,,Open,PLTR,PLTR,2025-01-30,80.0199966430664,81.83000183105469,79.37999725341797,81.22000122070312,81.22000122070312,7067.24
2025-01-30,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,2.0,$80.53,-$161.06,-$0.76,-$0.07,1.0,-$161.89,Growth Investing,,Open,PLTR,PLTR,2025-01-30,80.0199966430664,81.83000183105469,79.37999725341797,81.22000122070312,81.22000122070312,7067.24
2025-02-04,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Sell,PLTR,-3.0,$103.75,$311.25,-$1.01,-$0.09,1.0,$310.15,Growth Investing,,Open,PLTR,PLTR,2025-02-04,102.80000305175781,106.91000366210938,100.51000213623047,103.83000183105469,103.83000183105469,7067.24
2025-02-07,Stock IBKR,META PLATFORMS INC-CLASS A,Buy,META,0.3,$718.48,-$199.95,-$1.00,-$0.09,1.0,-$201.04,Growth Investing,,Open,META,META,2025-02-07,716.7999877929688,725.010009765625,711.75,714.52001953125,712.8548583984375,7067.24
2025-02-14,Stock IBKR,BAIDU INC - SPON ADR,Buy,BIDU,0.0,$98.08,-$3.83,-$0.04,$0.00,1.0,-$3.88,Growth Investing,,Open,BIDU,BIDU,2025-02-14,99.66000366210938,100.63999938964844,96.16000366210938,97.4800033569336,97.4800033569336,7067.24
2025-02-14,Stock IBKR,BAIDU INC - SPON ADR,Buy,BIDU,2.0,$98.08,-$196.16,-$0.96,-$0.09,1.0,-$197.21,Growth Investing,,Open,BIDU,BIDU,2025-02-14,99.66000366210938,100.63999938964844,96.16000366210938,97.4800033569336,97.4800033569336,7067.24
2025-02-20,Option IBKR,SPX 17APR25 6550 C,Buy,SPX 250417,1.0,$5.00,-$500.00,-$1.82,-$0.16,1.0,-$501.98,Iron Condor,,Closed,SPX,^GSPC,2025-02-20,6134.5,6134.5,6084.58984375,6117.52001953125,6117.52001953125,6565.26
2025-02-20,Option IBKR,SPX 17APR25 6490 C,Sell,SPX 250417,-1.0,$8.69,$869.00,-$1.82,-$0.16,1.0,$867.02,Iron Condor,,Closed,SPX,^GSPC,2025-02-20,6134.5,6134.5,6084.58984375,6117.52001953125,6117.52001953125,7432.28
2025-02-20,Option IBKR,SPX 17APR25 5550 P,Buy,SPX 250417,1.0,$23.47,"-$2,347.00",-$1.82,-$0.16,1.0,"-$2,348.98",Iron Condor,,Closed,SPX,^GSPC,2025-02-20,6134.5,6134.5,6084.58984375,6117.52001953125,6117.52001953125,5083.299999999999
2025-02-20,Option IBKR,SPX 17APR25 5575 P,Sell,SPX 250417,-1.0,$24.73,"$2,473.00",-$1.82,-$0.16,1.0,"$2,471.02",Iron Condor,,Closed,SPX,^GSPC,2025-02-20,6134.5,6134.5,6084.58984375,6117.52001953125,6117.52001953125,7554.32
